,pricing,size,address,link
0,"$1,179,000","5 bds5 ba2,240 sqft - House for sale","50 Barbey St, Brooklyn, NY 11207",https://www.zillow.com/homedetails/50-Barbey-St-Brooklyn-NY-11207/30636718_zpid/
1,"$110,000","Studio 1 ba2,400 sqft - Apartment for sale","7416 20th Ave, Brooklyn, NY 11204",https://www.zillow.com/homedetails/7416-20th-Ave-Brooklyn-NY-11204/30705737_zpid/
2,"$275,000",4 bds1 ba-- sqft - Condo for sale,"595 Franklin Ave APT 3R, Brooklyn, NY 11238",https://www.zillow.com/homedetails/595-Franklin-Ave-APT-3R-Brooklyn-NY-11238/245066787_zpid/
3,"$250,000","6 bds3 ba2,630 sqft - Multi-family home for sale","3017 Brighton 7 St #1-2, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3017-Brighton-7-St-1-2-Brooklyn-NY-11235/2061726388_zpid/
4,"$650,000","3 bds2 ba1,040 sqft - Condo for sale","3814 Shore Pkwy #3C, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3814-Shore-Pkwy-3C-Brooklyn-NY-11235/82770594_zpid/
5,"$579,900","3 bds2 ba1,540 sqft - House for sale","4310 Clarendon Rd, Brooklyn, NY 11203",https://www.zillow.com/homedetails/4310-Clarendon-Rd-Brooklyn-NY-11203/30661963_zpid/
6,"$599,000","3 bds2 ba1,000 sqft - House for sale","5310 Avenue L, Brooklyn, NY 11234",https://www.zillow.com/homedetails/5310-Avenue-L-Brooklyn-NY-11234/30763267_zpid/
7,"$649,000",6 bds5 ba-- sqft - Multi-family home for sale,"26 Radde Pl, Ocean Hill, NY 11233",https://www.zillow.com/homedetails/26-Radde-Pl-Brooklyn-NY-11233/79718896_zpid/
8,"$670,000",1 bd1 ba-- sqft - Condo for sale,"150 Joralemon St #2C, Brooklyn, NY 11201",https://www.zillow.com/homedetails/150-Joralemon-St-2C-Brooklyn-NY-11201/79721792_zpid/
9,"$110,000","Studio 1 ba2,400 sqft - Apartment for sale","7416 20th Ave, Brooklyn, NY 11204",https://www.zillow.com/homedetails/7416-20th-Ave-Brooklyn-NY-11204/30705737_zpid/
10,"$1,450,000","6 bds2 ba2,653 sqft - Multi-family home for sale","429 Halsey St, Brooklyn, NY 11233",https://www.zillow.com/homedetails/429-Halsey-St-Brooklyn-NY-11233/30604687_zpid/
11,"$4,250,000","4 bds5 ba4,500 sqft - House for sale","7 Arlington Pl, Brooklyn, NY 11216",https://www.zillow.com/homedetails/7-Arlington-Pl-Brooklyn-NY-11216/30610691_zpid/
12,"$1,050,000","3 bds3 ba1,680 sqft - House for sale","2411 E 4th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/2411-E-4th-St-Brooklyn-NY-11223/30738981_zpid/
13,"$509,000",1 bd1 ba-- sqft - Condo for sale,"2025 Ocean Ave APT 2A, Brooklyn, NY 11230",https://www.zillow.com/homedetails/2025-Ocean-Ave-APT-2A-Brooklyn-NY-11230/2060424794_zpid/
14,"$848,000",3 bds2 ba-- sqft - Multi-family home for sale,"2382 Brigham Street, Sheepshead Bay, NY 11229",https://www.zillow.com/homedetails/2382-Brigham-St-Brooklyn-NY-11229/30747501_zpid/
